2010,2011,2012,2013,2014,2015,2016,2017,2018,% Change in Rent,Y/Y rent change
681,697,713,730,747,765,783,801,820,0.2046,0.023
1172,1174,1177,1179,1182,1184,1186,1189,1191,0.0161,0.002
819,849,879,911,944,979,1014,1051,1089,0.3298,0.035
684,689,695,700,706,712,717,723,729,0.0664,0.008
1713,1728,1744,1760,1776,1792,1808,1824,1841,0.0750,0.009
1165,1184,1203,1222,1242,1262,1283,1304,1325,0.1377,0.016
1248,1260,1273,1286,1299,1312,1325,1338,1352,0.0837,0.01
1016,1040,1065,1090,1115,1141,1168,1196,1224,0.2046,0.023
1553,1575,1597,1620,1643,1666,1690,1714,1738,0.1194,0.014
1093,1108,1122,1137,1152,1167,1183,1198,1214,0.1104,0.013
886,905,923,942,961,981,1001,1021,1042,0.1754,0.02
1537,1559,1581,1604,1627,1650,1673,1697,1721,0.1194,0.014
758,768,778,789,799,810,820,831,842,0.1104,0.013
1016,1025,1034,1044,1053,1063,1072,1082,1092,0.0750,0.009
745,755,765,775,785,795,806,816,827,0.1104,0.013
749,751,753,756,758,760,762,765,767,0.0243,0.003
779,788,796,805,814,823,832,842,851,0.0925,0.011
709,717,725,733,741,750,758,766,775,0.0925,0.011
858,856,853,851,848,846,843,841,838,-0.0237,-0.003
897,903,910,916,923,929,936,942,949,0.0578,0.007
1280,1309,1338,1368,1399,1430,1462,1495,1529,0.1948,0.022
1387,1417,1447,1478,1510,1543,1576,1609,1644,0.1851,0.021
864,871,878,885,892,899,906,914,921,0.0664,0.008
966,981,996,1011,1026,1042,1058,1074,1090,0.1285,0.015
738,746,754,763,771,780,788,797,806,0.0925,0.011
800,805,811,817,823,828,834,840,846,0.0578,0.007
737,743,750,757,764,771,778,785,792,0.0750,0.009
761,770,779,789,798,808,818,828,838,0.1014,0.012
894,920,948,976,1005,1035,1066,1098,1131,0.2655,0.029
1172,1190,1208,1227,1245,1264,1284,1303,1323,0.1285,0.015
1423,1437,1452,1466,1481,1496,1511,1527,1542,0.0837,0.01
731,743,756,769,782,796,810,824,838,0.1470,0.017
1447,1458,1468,1478,1489,1499,1510,1520,1531,0.0578,0.007
743,764,785,807,829,852,876,900,925,0.2448,0.027
666,675,684,693,702,712,721,730,740,0.1104,0.013
773,782,792,801,811,821,831,841,851,0.1014,0.012
721,727,733,739,745,751,757,763,769,0.0664,0.008
1117,1129,1142,1154,1167,1180,1193,1207,1220,0.0925,0.011
950,958,967,976,985,994,1003,1012,1021,0.0750,0.009
1119,1125,1130,1136,1142,1148,1153,1159,1165,0.0409,0.005
812,826,840,855,869,884,900,915,931,0.1470,0.017
707,709,711,713,715,718,720,722,724,0.0243,0.003
752,766,780,794,809,824,839,854,870,0.1564,0.018
943,957,972,987,1002,1017,1032,1048,1064,0.1285,0.015
869,883,898,912,927,942,958,973,989,0.1377,0.016
1159,1167,1175,1184,1192,1200,1209,1217,1226,0.0578,0.007
1096,1115,1134,1154,1174,1194,1215,1236,1257,0.1470,0.017
1294,1316,1339,1362,1386,1410,1434,1459,1484,0.1470,0.017
690,695,700,705,710,715,720,725,730,0.0578,0.007
787,797,806,816,826,836,846,857,867,0.1014,0.012
732,739,745,752,759,766,773,780,787,0.0750,0.009
